,161x8y5r90s1_5.png,161x8y5r240s0_5.png,161x8y5r330s0_75.png,161x8y5r120s1_25.png,161x8y5r120s0_75.png,161x8y5r270s0_5.png,161x8y5r180s2.png,161x8y5r0s0_75.png,161x8y5r0s1_75.png,161x8y5r330s1_25.png,161x8y5r210s1_0.png,161x8y5r180s1_25.png,161x8y5r0s1_25.png,161x8y5r270s1_0.png,161x8y5r30s0_5.png,161x8y5r120s2.png,161x8y5r240s1_25.png,161x8y5r330s1_0.png,161x8y5r300s2.png,161x8y5r240s1_75.png,161x8y5r240s2.png,161x8y5r150s1_25.png,161x8y5r90s1_75.png,161x8y5r300s0_5.png,161x8y5r330s1_75.png,161x8y5r120s1_75.png,161x8y5r120s1_5.png,161x8y5r60s2.png,161x8y5r150s0_75.png,161x8y5r0s1_0.png,161x8y5r330s0_5.png,161x8y5r30s0_75.png,161x8y5r150s1_0.png,161x8y5r90s0_5.png,161x8y5r90s2.png,161x8y5r60s0_75.png,161x8y5r60s1_0.png,161x8y5r60s1_75.png,161x8y5r240s1_5.png,161x8y5r240s1_0.png,161x8y5r210s1_75.png,161x8y5r90s1_0.png,161x8y5r270s2.png,161x8y5r120s1_0.png,161x8y5r300s0_75.png,161x8y5r270s1_5.png,161x8y5r150s1_5.png,161x8y5r270s1_25.png,161x8y5r210s1_5.png,161x8y5r90s1_25.png,161x8y5r300s1_0.png,161x8y5r0s1_5.png,161x8y5r270s0_75.png,161x8y5r330s2.png,161x8y5r60s1_25.png,161x8y5r0s0_5.png,161x8y5r60s0_5.png,161x8y5r150s1_75.png,161x8y5r210s2.png,161x8y5r210s0_5.png,161x8y5r0s2.png,161x8y5r120s0_5.png,161x8y5r90s0_75.png,161x8y5r210s1_25.png,161x8y5r240s0_75.png,161x8y5r180s0_75.png,161x8y5r180s1_75.png,161x8y5r30s1_5.png,161x8y5r150s2.png,161x8y5r30s2.png,161x8y5r270s1_75.png,161x8y5r300s1_75.png,161x8y5r30s1_75.png,161x8y5r60s1_5.png,161x8y5r150s0_5.png,161x8y5r180s0_5.png,161x8y5r330s1_5.png,161x8y5r300s1_25.png,161x8y5r30s1_25.png,161x8y5r180s1_5.png,161x8y5r300s1_5.png,161x8y5r210s0_75.png,161x8y5r180s1_0.png,161x8y5r30s1_0.png,Mean,StDev,StDev/Mean
0_0_0,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999997,1.0000000000000004,1.0,1.0,1.0000000000000002,0.9999999999999996,1.0000000000000004,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999997,1.0000000000000007,1.0000000000000004,1.0,1.0000000000000002,0.9999999999999998,0.9999999999999999,0.9999999999999994,0.9999999999999996,0.9999999999999996,0.9999999999999999,1.0,0.9999999999999997,1.0000000000000002,1.0000000000000004,1.0,0.9999999999999997,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000004,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999997,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0000000000000007,1.0,0.9999999999999999,1.0,0.9999999999999997,1.0000000000000002,1.0000000000000002,0.9999999999999996,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999996,0.9999999999999996,1.0000000000000002,0.9999999999999999,0.9999999999999997,1.0000000000000004,1.0000000000000002,0.9999999999999998,0.9999999999999997,1.0,0.9999999999999996,1.0000000000000002,0.9999999999999997,1.0,1.0,2.9671958436108745e-16,2.9671958436108745e-16
1_1_1,1.8969037739690022e-05,2.7963952064786203e-05,1.2606617751391844e-05,2.681825256004319e-05,5.991930571855248e-05,3.199542598637561e-05,9.182713934255179e-06,2.409045432709144e-05,1.619346198234021e-05,7.749591124642938e-06,1.272683093226329e-05,2.1867827189538165e-05,9.179097999548224e-06,1.1118411588335037e-05,1.853809065662698e-05,1.433449274667705e-05,1.537124214910668e-05,1.5180372519338439e-05,7.845858434900099e-06,9.141414497247346e-06,8.874356383452878e-06,2.8134546645683145e-05,2.595939089737796e-05,4.6852053812197595e-05,1.4022941002607897e-05,1.9497926731232376e-05,1.970572882754911e-05,1.0584577271624341e-05,3.46537153005878e-05,1.2530893064059492e-05,7.233851217757136e-05,3.123208194853258e-05,2.182146578545628e-05,5.5681291519247094e-05,1.3964665720467285e-05,2.2349546453473243e-05,2.7983648291334477e-05,2.5159904710744096e-05,9.633071183656043e-06,9.0173095793941e-06,9.417556930122238e-06,2.3119944245088952e-05,7.949780206508947e-06,1.4429482405916634e-05,7.573187171094776e-06,1.1041094499049092e-05,2.1525083529811233e-05,1.0913760921123313e-05,1.5318699831380507e-05,2.01563230532518e-05,1.69732140356718e-05,8.617538039464816e-06,1.4432272374942694e-05,8.221542389023707e-06,2.0491133237860107e-05,6.63469810893525e-05,6.576587615604715e-05,2.022105717176219e-05,9.588820861623537e-06,6.994909142777247e-05,1.2735563709729136e-05,4.1107754632770814e-05,3.077580024530105e-05,1.2988377184712654e-05,2.5045653345409717e-05,2.1104125064926575e-05,1.8507269280985423e-05,1.2365112766470467e-05,1.1320829776063981e-05,1.2677094793280942e-05,8.758317275882228e-06,1.0715040433312573e-05,2.0551673490932783e-05,2.234407595909618e-05,2.1411246876490458e-05,2.1385867875814308e-05,1.0401132163271183e-05,8.77863691212973e-06,2.2711817507020036e-05,2.1402280345552602e-05,7.589684371156843e-06,3.704697594173031e-05,2.170746276936276e-05,1.8456491186611757e-05,2.1127747651117648e-05,1.4682727970650206e-05,0.6949499877178577
2_0_0,2.9863428913168004,2.9862706141720885,2.9863271621466487,2.986351882470517,2.9863061310901133,2.9862664506560197,2.9863604734810774,2.9863143438349438,2.986340909588859,2.986350286797787,2.9863477151106075,2.986341354823685,2.9863551631385232,2.986347279224199,2.986300057176596,2.9863689815127423,2.9863395220203848,2.98634561718427,2.9863686070145437,2.9863521057130606,2.9863504581283493,2.986332176756402,2.986333644704727,2.986254189165135,2.986344198936439,2.9863600201783047,2.98635689906478,2.98635466201545,2.9863148986537307,2.9863515091635113,2.9862026313853467,2.986320216329133,2.98635130458423,2.986269275710091,2.986356630543311,2.9863313899696267,2.9863410176565077,2.9863358163207447,2.9863478962127075,2.9863558762910403,2.9863517298615196,2.9863485680496127,2.9863560335426835,2.9863733030724364,2.9863576263170257,2.9863419888507927,2.986339697689994,2.986347343240289,2.9863388231415446,2.986348858499675,2.9863491355681497,2.986349377524206,2.9863207499413362,2.986351146198058,2.9863427320087674,2.9862258129340487,2.986240690710566,2.986343821509191,2.9863541149066886,2.986215293001006,2.9863518833272438,2.9863033976083124,2.986321787260401,2.986346272143677,2.9863093912804075,2.9863275588963925,2.986341184489748,2.9863458509060408,2.986354277544042,2.986351413819699,2.9863484624604166,2.986361602938129,2.986337237622624,2.9863378565870184,2.9863099167612357,2.986306420663134,2.986346012006276,2.9863627186143726,2.986334818161483,2.986334553986734,2.9863615791184346,2.9863063039221385,2.986344338247597,2.986343021085237,2.9863327019793027,3.3806712031707495e-05,1.1320477456949403e-05
2_0_2,8.918243864518383,8.91781218106774,8.918149919374853,8.918297565935204,8.918024308586398,8.917787314313701,8.918348877570125,8.918073360194327,8.918232028284015,8.918288035457222,8.918272675546344,8.918234687530163,8.918317160404113,8.918270072129777,8.917988031492934,8.918399693741453,8.918223740780942,8.918260145275694,8.918397456961989,8.918298899296834,8.918289058763408,8.918179869930633,8.918188637495422,8.917714082306315,8.918251674521322,8.918346170119367,8.91832752859181,8.918314167341412,8.918076673921245,8.918295336283185,8.917406155692767,8.91810843445608,8.918294114391928,8.91780418705007,8.918325924789997,8.918175170717918,8.918232673737709,8.91820160784009,8.918273757214063,8.918321419858028,8.91829665444689,8.918277769891974,8.91832235907678,8.918425505303768,8.91833187226186,8.918238474373307,8.918224789999162,8.91827045447833,8.918219566602426,8.918279504662316,8.918281159508636,8.918282604639213,8.918111621530187,8.918293168398456,8.91824291302159,8.917544605833616,8.917633462855516,8.918249420266118,8.918310899620108,8.917481776153082,8.918297571052173,8.918007982566955,8.918117817066157,8.918264057146443,8.918043780449556,8.91815228902409,8.91823367017963,8.91826154122373,8.918311871005596,8.91829476682291,8.918277139239704,8.918355623503196,8.918210096811526,8.91821379368475,8.918046918946501,8.918026038093855,8.918262503425789,8.918362287129831,8.91819564616358,8.918194068335145,8.918355481234753,8.918025340845102,8.91825250658348,8.918244639584497,8.918183008053896,0.00020191380728490414,2.2640688927616577e-05
2_2_2,7.141302508981277e-06,7.105356519774269e-06,7.143544376709135e-06,7.1568124586744075e-06,7.295985811804434e-06,7.165794303058825e-06,7.101187676612207e-06,7.07593386596507e-06,7.081179456769284e-06,7.126151425339768e-06,7.120767615766847e-06,7.13897042457773e-06,7.097499815886439e-06,7.099389096690526e-06,7.1023169578919115e-06,7.12794139418616e-06,7.122097950051139e-06,7.128364251948357e-06,7.114637165076048e-06,7.133397718217065e-06,7.113492295411575e-06,7.209454666615809e-06,7.115834070474574e-06,7.14075123711233e-06,7.103961482306652e-06,7.1158125087552575e-06,7.16349908346597e-06,7.112754811264017e-06,7.220056528453696e-06,7.096527663130818e-06,7.303891638600718e-06,7.078534310990787e-06,7.184001300135055e-06,6.980711748244857e-06,7.081511435668521e-06,7.100548416591424e-06,7.070076508028194e-06,7.086133134086687e-06,7.13049687559288e-06,7.126950378660499e-06,7.14010867611902e-06,7.132152816473801e-06,7.09752565176822e-06,7.143148178065226e-06,7.111338411198892e-06,7.0929463393228745e-06,7.175486445857589e-06,7.09029311418364e-06,7.141126009420183e-06,7.1378885948837576e-06,7.166356954807823e-06,7.1025240634223365e-06,7.108495054687036e-06,7.120928273218775e-06,7.13783277255843e-06,7.068692360875593e-06,6.887736448608549e-06,7.153129703871889e-06,7.134354904767498e-06,6.924543623458237e-06,7.079077953741597e-06,7.237388279480177e-06,7.0920122684883315e-06,7.155879876212348e-06,7.053069473403795e-06,7.138604304217777e-06,7.150151385183835e-06,7.1220576981050715e-06,7.135044887459379e-06,7.10893310388318e-06,7.112549635592079e-06,7.113629420552213e-06,7.083367384690067e-06,7.103386342438791e-06,7.1769908606284175e-06,7.140974021702431e-06,7.1137560347629505e-06,7.1211992682634645e-06,7.081998371066878e-06,7.1389610738551995e-06,7.117940693942958e-06,7.182606545737522e-06,7.1474564887265394e-06,7.107689040546755e-06,7.121368615450267e-06,5.659493565147825e-08,0.007947199296591937
3_1_1,7.587478043182172e-05,0.00011077387020144438,4.9805914862683834e-05,0.00010712345204249852,0.0002389281480345049,0.000126446341361685,3.6753076500307085e-05,9.546417349881706e-05,6.45626503220639e-05,3.089723659780183e-05,5.078335660194346e-05,8.744880327886158e-05,3.656474107439734e-05,4.421440310480746e-05,7.356554101650383e-05,5.7346299785708156e-05,6.146385015354162e-05,6.011551824784033e-05,3.1192039975464984e-05,3.656794143718321e-05,3.5413410113594446e-05,0.00011243439034174252,0.0001036544225217712,0.00018547069484776507,5.579663601661188e-05,7.787469260991502e-05,7.882835671872196e-05,4.226863241622571e-05,0.00013840452736863028,4.9758086753216095e-05,0.00028609007154237,0.00012454210774569228,8.725576604131144e-05,0.0002218346617956458,5.574232721998909e-05,8.920374387113193e-05,0.00011153348281173175,0.00010033670141675479,3.856936826781321e-05,3.59891975590357e-05,3.768888252396298e-05,9.237139308457951e-05,3.156510796880465e-05,5.772957911283926e-05,3.016368019278169e-05,4.4096095355278984e-05,8.607377264039786e-05,4.352226880026258e-05,6.129377546032944e-05,8.059381429344563e-05,6.701357780679714e-05,3.4408196685055124e-05,5.715593882797387e-05,3.263361227583327e-05,8.187913198977959e-05,0.00026290571082384566,0.0002614792658715862,8.0829955148337e-05,3.839198255881608e-05,0.00027865567767124073,5.056491092500196e-05,0.00016410375709400657,0.0001228018324947087,5.201472702933578e-05,9.981677721342656e-05,8.440697701614303e-05,7.40437048423053e-05,4.93787106649163e-05,4.534246545879278e-05,5.0540184881481415e-05,3.5025517823457817e-05,4.25342842735931e-05,8.182016844571342e-05,8.918330800975961e-05,8.56193637463388e-05,8.552728743205335e-05,4.1409075820948874e-05,3.487186877544704e-05,9.049408336957298e-05,8.559351485401735e-05,3.0228606103616745e-05,0.0001479186223778847,8.68104276109155e-05,7.325309897955785e-05,8.417438227195825e-05,5.8319545296617825e-05,0.6928419754622461
3_1_3,0.000303493639718555,0.0004388095892518211,0.0001967719815281172,0.0004278964094252306,0.00095272565725879,0.0004997175924635014,0.00014710124282522245,0.00037829956621297783,0.0002574085653305561,0.00012318575445159757,0.0002026387654150698,0.00034970521436000676,0.000145654866077639,0.00017582668408906715,0.00029193345341184146,0.00022941851917813124,0.0002457709558571081,0.00023806237492542877,0.00012400725375099047,0.00014628090011189424,0.00014131837416536997,0.00044932275933648225,0.00041388641785917616,0.0007342128220290985,0.00022201224337970794,0.0003110314154260567,0.0003153351940115441,0.00016879628165479142,0.0005527780507797099,0.0001975810650273397,0.0011314516510127401,0.000496628326837122,0.0003489027172744015,0.0008837908717864088,0.000222504935391777,0.00035603889936611645,0.0004445352392442334,0.00040013878299371595,0.00015442594996101846,0.00014363733767143558,0.0001508301862621865,0.000369052544847652,0.0001253312689408093,0.00023096492381313917,0.00012014064649624704,0.00017611167314520522,0.00034418887742248286,0.00017355959097987536,0.00024525102988735267,0.000322249394654275,0.00026458274791265273,0.00013738541027559715,0.00022635391423036816,0.000129531978280766,0.00032717528003833657,0.001041786855240712,0.0010396182713131382,0.0003231028721092729,0.00015371486714236898,0.0011100785601853977,0.0002007614484233743,0.0006551085879767381,0.0004900048071491171,0.00020830406982026446,0.0003978091078666505,0.0003375898193876859,0.00029623334180408647,0.0001971884214061641,0.00018160675626699725,0.00020149019388954529,0.00014007107303357956,0.00016884353819535917,0.00032574184128793645,0.00035596291572423486,0.00034237499061191785,0.00034204442569093254,0.00016485816480634082,0.00013852346828603266,0.00036056907917510434,0.000342311644683567,0.00012039613009998416,0.0005905993212667424,0.0003471640339573055,0.00029073871386785477,0.00033536125129413264,0.0002316553933638184,0.6907637434852073
3_3_3,2.8137959122291162e-09,6.355327098444749e-09,3.617907966216255e-09,2.180536674745117e-09,3.150875738138176e-09,5.700150594475168e-09,3.1677369706423484e-09,1.970240191004398e-09,1.8746371518599197e-09,3.16464025830569e-09,5.038575951252362e-09,4.5053948967877895e-09,2.609025193451296e-09,4.6825095051074065e-09,2.0000746948334613e-09,2.5328337482193942e-09,4.894361600959657e-09,2.572060086959953e-09,3.0582819561950212e-09,3.038227246707051e-09,4.248504343129e-09,3.986558550552492e-09,1.8900122576496923e-09,7.109763743359227e-09,2.1061899458034263e-09,1.9369873326830818e-09,2.959698845845854e-09,2.558494147488939e-09,4.636258909688794e-09,2.3342987342547354e-09,3.8943096132344905e-09,1.3534135534410977e-09,3.058146045810919e-09,7.08483312794861e-10,2.1159002002888752e-09,1.7656486495936475e-09,1.3396585428565301e-09,1.5066457668336808e-09,3.729738248567368e-09,4.292851671089686e-09,3.1310632776822485e-09,2.1832626674673015e-09,3.35477817111906e-09,2.5783767097511356e-09,3.568582199176242e-09,4.47196884774285e-09,3.008648237294399e-09,4.546674438606807e-09,4.561137479292644e-09,2.5560004759507014e-09,4.0790103837127555e-09,2.8212300570088095e-09,4.876387402601978e-09,3.2894488754226253e-09,2.247640689553988e-09,1.930513613046616e-09,5.186153678054742e-10,2.445810773483346e-09,3.736121484121274e-09,9.749730639089634e-09,2.301566746647612e-09,4.130900023359233e-09,1.5545265569381142e-09,3.802215755598576e-09,6.451783796920677e-09,4.4604804422151866e-09,3.045312038489426e-09,2.3674559950042877e-09,3.524008835015324e-09,2.240215523142007e-09,3.025261210489678e-09,2.5019324427597508e-09,1.6357226172537996e-09,1.776070691142065e-09,3.006011477004216e-09,4.477613111813039e-09,2.5007424311069307e-09,2.8128166512799846e-09,1.5381230541362575e-09,4.4656585444746e-09,3.5619784924925725e-09,5.7498571800760416e-09,4.541147564915359e-09,2.017049689804989e-09,3.2571691489703615e-09,1.480066490908686e-09,0.4544027108253056
4_0_0,4.932012965518435,4.931658267554501,4.93193838384168,4.932056576473508,4.9318281508762,4.9316392137617155,4.932101187951449,4.931875170577838,4.932004663802044,4.932051281735282,4.932037864372451,4.932004927009508,4.932075704797731,4.932036765210781,4.9318034848995564,4.932142202649174,4.931996559798503,4.932029469301826,4.932142023234417,4.932059601061188,4.932051887735525,4.931958829373057,4.931967276284839,4.931577703181675,4.932021318826161,4.932097729134156,4.932081553771915,4.9320725732310144,4.931872847855553,4.932058213975599,4.931325604846934,4.9319010386821605,4.932054080386937,4.931648331663326,4.932082332808013,4.931956497909187,4.932004468452135,4.93197857677407,4.932038553560942,4.9320785577529564,4.9320576286205435,4.932041126759774,4.9320804919351104,4.932163440398286,4.932087263868743,4.932009755167112,4.931996728062587,4.932036541905827,4.931992941879127,4.932042503081479,4.932047214551937,4.932046739037225,4.931906302405911,4.932056188054393,4.932012290681538,4.931438571255889,4.931508727229543,4.932017462133956,4.932069420095694,4.931379684783687,4.932060120264604,4.931814950058185,4.931908549629179,4.932029896570242,4.9318477231136795,4.931936657207498,4.932004457395766,4.9320287843547685,4.932069871541153,4.93205676612886,4.932041899426923,4.932107530176531,4.93198656726981,4.931988533572296,4.931849182310539,4.931831915472667,4.932030316063462,4.93211290295315,4.9319742034392435,4.931971322805148,4.9321068871033775,4.9318302814306385,4.932019722253235,4.932016189688711,4.931963555866334,0.00016696979661491904,3.385462903843166e-05
4_0_2,14.728681859458264,14.727266163536834,14.728381557700049,14.728856441602758,14.727948644444405,14.727188730796241,14.729032038907276,14.728129563900003,14.728647293795094,14.728832759711546,14.72878000710767,14.728650275722662,14.728929746012772,14.728774574820937,14.72784502893927,14.729196486401422,14.728616248994848,14.728744589473164,14.729194103524465,14.7288665751314,14.728835414451781,14.7284673465946,14.728499811752156,14.726944575319653,14.728713254507348,14.729019473898454,14.728955774856896,14.728917922466975,14.728125363816845,14.728859490588324,14.725937497411842,14.728235776751186,14.7288461372435,14.727229891453117,14.728956776966726,14.728456503670872,14.728647243403795,14.728544269147019,14.728782958466686,14.728941783274585,14.728858831007662,14.728793956460859,14.72894833500857,14.729281224795335,14.72897641411549,14.728667821277263,14.728617617890462,14.728774223684487,14.72860199779372,14.72879949914926,14.728814935758475,14.72881470904411,14.728254127641224,14.728851650309462,14.728679058454722,14.726389156382936,14.726672027847131,14.728699875619178,14.728905807708218,14.72616143029552,14.728867028835392,14.72789574173423,14.728265954533462,14.728749095723712,14.72802317189927,14.7283783581501,14.728648033207989,14.728743696707035,14.728907958023017,14.728854696567925,14.728795743143955,14.729056549681212,14.72857514129241,14.728584066060046,14.728030121104757,14.727961314807382,14.728749065470168,14.729078097376194,14.728526286004861,14.728516380564676,14.72905451175096,14.727955859310404,14.72870917367644,14.728692127956284,14.728484057498209,0.0006653436784570741,4.517394158554631e-05
4_2_2,3.545399905391796e-05,3.526629452396192e-05,3.5459074029207664e-05,3.553239696833578e-05,3.622465836679239e-05,3.556480644731998e-05,3.52531484850009e-05,3.512469427748366e-05,3.5154215055592227e-05,3.537580586395787e-05,3.534839436161143e-05,3.544132154852755e-05,3.5233973154806474e-05,3.524136216601731e-05,3.525620966724961e-05,3.5387547092333694e-05,3.535599914744735e-05,3.538544160297809e-05,3.531854697493162e-05,3.5412868619559464e-05,3.5312401824070765e-05,3.579238253020849e-05,3.532825906997421e-05,3.543941836614138e-05,3.526626346567715e-05,3.532789736077662e-05,3.5564614504820876e-05,3.531055053656916e-05,3.584469854045731e-05,3.522865380237431e-05,3.624722003592747e-05,3.514278049667071e-05,3.566642031699604e-05,3.4657886408651446e-05,3.515620616723937e-05,3.525159843494478e-05,3.510047414057962e-05,3.5180080108984684e-05,3.5398144371954525e-05,3.537942841658563e-05,3.54462849378482e-05,3.540932174943906e-05,3.5232908965316966e-05,3.5463245302888234e-05,3.5301971235690816e-05,3.521053220204062e-05,3.562386658137853e-05,3.519693788171175e-05,3.545100313243368e-05,3.5437356035373946e-05,3.557178775742838e-05,3.525915673042251e-05,3.52845730089441e-05,3.5348938438784114e-05,3.5436919791648564e-05,3.5084802649277926e-05,3.419295533064152e-05,3.551293850608044e-05,3.541733684466832e-05,3.437160000338911e-05,3.51420035463305e-05,3.5931649234743825e-05,3.521012668067584e-05,3.5524942871728644e-05,3.501103174122576e-05,3.5439252940955504e-05,3.549774677761775e-05,3.5356988255735355e-05,3.542144567825017e-05,3.52914661006978e-05,3.5309145979252236e-05,3.5313634125050726e-05,3.516483565806678e-05,3.5265789081414246e-05,3.563055641142058e-05,3.545057177704228e-05,3.531458891122736e-05,3.5351156111429455e-05,3.5158713991414885e-05,3.544117815743332e-05,3.5334770370272806e-05,3.5657701726704245e-05,3.548358495576217e-05,3.5283909403728985e-05,3.535270671285983e-05,2.810923775527402e-07,0.007951085042393391
4_0_4,24.32475189204194,24.32125326793866,24.324016222010883,24.32518207353559,24.322928909774944,24.321065334712273,24.325622128192098,24.32339269816217,24.324670003765117,24.325129845666623,24.32499749560357,24.324672600046057,24.325370757856035,24.324986653390827,24.322685613667392,24.326026707153034,24.324590065864278,24.324914686061646,24.326024937354898,24.325211908419853,24.325135823315563,24.324217894630866,24.3243012143445,24.320458642518652,24.324834289355742,24.3255880097303,24.325428453057178,24.325339867617583,24.323369787414844,24.32519822604417,24.31797222101896,24.323647855354167,24.325157451861433,24.321155267197657,24.32543613759692,24.32419489726865,24.32466807683183,24.324412681758385,24.325004293811524,24.32539889984649,24.325192452034095,24.325029676049844,24.325417978926858,24.326236202801446,24.325484778416257,24.324720225063558,24.324591725620067,24.32498445069439,24.324554378745535,24.325043252202224,24.325089726569523,24.32508503604773,24.323699775711145,24.32517824212563,24.324745235433742,24.319086382070317,24.319778326741144,24.324796246794268,24.32530876464307,24.318505595497246,24.325217029904508,24.322798701617412,24.323721941905387,24.32491890066268,24.323121963981574,24.323999190707067,24.324667967771706,24.324907929703993,24.32531321776398,24.32518394431746,24.32503729770275,24.32568468922406,24.324491499729838,24.32451089528862,24.32313635705714,24.32296604247479,24.324923038569047,24.32573768747694,24.324369543390162,24.324341128972367,24.325678345812584,24.3229499248362,24.3248185406949,24.324783695351552,24.324264544272594,0.0016469203950241662,6.770689374910416e-05
4_2_4,0.00017601635658682203,0.00017503858194723462,0.00017601149579308132,0.0001764125078875196,0.00017985586973973065,0.000176512945270479,0.00017501079181425345,0.00017435778392742591,0.0001745216095312259,0.0001756133943596025,0.00017547391676949722,0.00017594795865545575,0.00017491129221235138,0.00017493809543349994,0.00017501335514460176,0.0001756858565410687,0.0001755166363171574,0.00017565453071446713,0.00017532865436112763,0.00017580279600330827,0.00017529585621242158,0.00017769647031987422,0.0001753955863155726,0.00017588518804616664,0.0001750726467096107,0.00017539252620806987,0.00017656759498942202,0.00017529565017777236,0.00017795461966160452,0.00017488243654362317,0.00017988505653469017,0.00017447326900988256,0.00017707312193898317,0.00017206971633186168,0.000174533197227939,0.0001750111567882442,0.00017426166230230923,0.00017465633414663414,0.00017572809396589908,0.00017562967168007181,0.0001759691865891958,0.00017579826162154467,0.00017490008984314846,0.00017606267377662967,0.0001752453759144675,0.00017479077362783128,0.00017686046511041596,0.00017472118800997006,0.00017599096017042068,0.00017593524836994262,0.0001765683864534018,0.0001750375109241744,0.0001751427106364246,0.0001754753595045177,0.00017593229266278028,0.0001741401823839316,0.0001697449086454866,0.00017631007035340043,0.00017582357002319312,0.00017061151622913207,0.00017445215624410187,0.00017839079055482134,0.00017480976822019725,0.0001763614800515042,0.00017379275054745237,0.00017593644296420277,0.0001762326359829196,0.0001755274488788289,0.00017584736098051222,0.00017520035163312572,0.00017528676124034683,0.0001753047117572708,0.00017457313728094182,0.00017508211148597154,0.00017688981006675885,0.00017599042308511515,0.00017531107109586722,0.0001754906991557058,0.0001745460962798687,0.0001759467653895777,0.00017540831692828865,0.00017702093026175222,0.00017615844227925097,0.00017515598328916024,0.0001755019221502871,1.3962626967886619e-06,0.007955825666644288
4_4_4,4.433314907644565e-11,3.2104836983922276e-11,3.4292257148579625e-11,4.1616573907447615e-11,4.671299410209178e-11,2.981361258152491e-11,4.082456589079436e-11,3.6951194242374456e-11,4.044536800515262e-11,3.864054995453738e-11,3.924216047204082e-11,4.5660697541554826e-11,3.894114954697364e-11,3.7594129751755527e-11,3.710580880698297e-11,3.9759833429555985e-11,4.2371935758629865e-11,3.5651095276187334e-11,3.561405562734772e-11,3.9840615062475835e-11,3.847459143504978e-11,4.6894311728402206e-11,4.345585135603801e-11,2.6300846839610426e-11,3.813195278574178e-11,3.9647890449030256e-11,4.1901496716209354e-11,3.945948376227583e-11,4.827542919329902e-11,3.784919997183845e-11,3.005349813397335e-11,4.169593999417367e-11,4.4128855403972585e-11,4.2349874690536514e-11,4.047324415686835e-11,4.130008595359914e-11,4.040606594116503e-11,4.0662636622824073e-11,4.0673644604413904e-11,3.855491228697415e-11,4.036545266527013e-11,4.346038307089168e-11,3.741199964312988e-11,3.9925782999392623e-11,3.602231424318785e-11,4.0571468105588386e-11,4.408562408655279e-11,3.924340658859389e-11,4.2941809622320564e-11,4.381721235971562e-11,3.106334132879369e-11,4.010723098421144e-11,3.529368767990713e-11,3.662162267810994e-11,4.272347344576711e-11,3.5903283716064176e-11,3.986813354569307e-11,4.265393841886286e-11,4.0680142270750916e-11,4.7220771164389777e-11,3.770127753762393e-11,4.718489908354325e-11,4.3302346384801815e-11,4.247517033981148e-11,4.00140973724443e-11,4.600680691150418e-11,4.4426256758474744e-11,4.017617965365169e-11,4.1416262491939004e-11,3.9176405689127535e-11,4.066618502387148e-11,3.5388736392405345e-11,3.909933895645e-11,4.1359519049412804e-11,4.417111571334722e-11,4.564748905496544e-11,3.8191519356795656e-11,3.551206426849534e-11,3.991685372582003e-11,4.597168601269148e-11,3.6081621436405154e-11,4.906766874868236e-11,4.567923109170948e-11,3.7098524553907785e-11,4.0165699159731504e-11,4.228882364783037e-12,0.10528591443075744
Time: 43.37613960803719 s
